Home Team,Away Team,Home xG,Away xG,Home Poss%,Away Poss%
Liverpool,Norwich,2.23,0.84,57,43
West Ham,Manchester City,0.8,2.42,43,57
Bournemouth,Sheffield United,1.34,1.6,53,47
Burnley,Southampton,0.91,1.09,46,54
Crystal Palace,Everton,0.87,1.22,35,65
Watford,Brighton,0.67,0.86,48,52
Tottenham,Aston Villa,2.57,0.64,70,30
Newcastle United,Arsenal,0.38,1.13,38,62
Leicester City,Wolves,0.54,0.81,70,30
Manchester United,Chelsea,1.61,1.1,46,54
Arsenal,Burnley,1.16,1.39,68,32
Aston Villa,Bournemouth,1.65,0.87,63,37
Brighton,West Ham,2.4,1.01,57,43
Everton,Watford,0.83,1.17,44,56
Norwich,Newcastle United,2.1,0.92,63,37
Southampton,Liverpool,2.14,1.52,36,64
Manchester City,Tottenham,3.2,0.07,55,45
Sheffield United,Crystal Palace,1.85,0.24,42,58
Chelsea,Leicester City,1.23,0.95,50,50
Wolves,Manchester United,0.31,0.38,34,66
Aston Villa,Everton,0.86,1.26,35,65
Norwich,Chelsea,1.08,1.89,47,53
Sheffield United,Leicester City,0.65,0.7,49,51
Brighton,Southampton,1,2.08,51,49
Watford,West Ham,2.29,2.7,55,45
Wolves,Burnley,0.57,1.23,64,35
Manchester United,Crystal Palace,1.48,0.68,71,29
Liverpool,Arsenal,2.03,0.99,52,48
Bournemouth,Manchester City,1.89,3.13,26,74
Tottenham,Newcastle United,1.26,0.51,80,20
Southampton,Manchester United,0.77,1.9,41,59
West Ham,Norwich,2.21,1.17,49,51
Chelsea,Sheffield United,2.31,1.05,62,38
Crystal Palace,Aston Villa,1.41,0.3,53,47
Leicester City,Bournemouth,2.24,0.55,55,45
Manchester City,Brighton,2.31,0.86,54,46
Newcastle United,Watford,1.04,1.11,49,51
Burnley,Liverpool,0.62,1.2,36,64
Everton,Wolves,1.49,2,59,41
Arsenal,Tottenham,1.93,2,55,45
Liverpool,Newcastle United,2.93,0.29,75,25
Manchester United,Leicester City,0.36,0.46,42,58
Brighton,Burnley,1.69,0.34,63,37
Sheffield United,Southampton,1.88,1.58,48,52
Tottenham,Crystal Palace,1.05,0.58,64,36
Wolves,Chelsea,1.49,3.07,45,55
Norwich,Manchester City,1.74,2.34,31,69
Bournemouth,Everton,1.42,1.51,40,60
Watford,Arsenal,2.06,1.01,52,48
Aston Villa,West Ham,1.41,0.54,47,53
Southampton,Bournemouth,1.42,1.3,65,35
Leicester City,Tottenham,1.29,1.34,44,56
Manchester City,Watford,6.63,0.34,41,59
Burnley,Norwich,2.39,0.8,70,30
Crystal Palace,Wolves,0.98,1.76,69,31
Everton,Sheffield United,1.26,0.51,29,71
Newcastle United,Brighton,1.1,1.22,50,50
West Ham,Manchester United,0.51,1.28,46,54
Chelsea,Liverpool,1.23,1.03,58,42
Arsenal,Aston Villa,1.77,1.72,55,45
